,키워드,품사,textrank
0,가능,NNG,29.727850046499697
1,지속,NNG,28.273504577322974
2,학생,NNG,23.064278459143644
3,연구,NNG,20.928425627946275
4,개발,NNG,20.871663988481554
5,대학,NNG,20.780055832699215
6,지역,NNG,19.353118339480996
7,사회,NNG,18.25580795796946
8,협력,NNG,15.75661578195771
9,교육,NNG,15.692656555031105
10,파트너십,NNP,14.823726756918624
11,국제,NNG,13.444633669801778
12,프로젝트,NNG,12.872231526921727
13,세계,NNG,12.834371078355261
14,목표,NNG,12.736915774677376
15,제공,NNG,12.259148658357416
16,참여,NNG,12.051703952572376
17,글로벌,NNG,11.939624668151712
18,지원,NNG,11.40461250532626
19,프로그램,NNG,10.729271485007937
20,포함,NNG,8.998477875009012
21,환경,NNG,8.67686867209017
22,기술,NNG,8.149383322005441
23,기관,NNG,8.034669860652869
24,네트워크,NNG,7.996508812161937
25,공동,NNG,7.94582734785476
26,파트너,NNG,7.734283675891512
27,과학,NNG,7.395763706913036
28,혁신,NNG,7.237371442833044
29,국가,NNG,7.172052877365842
