,키워드,품사,textrank
0,가능,NNG,43.33552926710037
1,연구,NNG,42.87766545657005
2,사용,NNG,40.363733342867036
3,지속,NNG,34.978938454147475
4,환경,NNG,34.97182463450349
5,물,NNG,32.40529828589026
6,기후,NNG,30.088274888833293
7,지역,NNG,28.664908395023794
8,학생,NNG,25.593977608395868
9,관리,NNG,23.77955351830565
10,폐기물,NNG,23.419921365808836
11,캠퍼스,NNG,22.71303536004038
12,변화,NNG,22.081237863726972
13,프로젝트,NNG,21.80394179011028
14,개발,NNG,21.79445683318516
15,제공,NNG,21.39292082387237
16,포함,NNG,19.6161797999371
17,사회,NNG,19.284928360171154
18,영향,NNG,18.08241323561667
19,대학,NNG,17.200686164507935
20,목표,NNG,16.286030268210446
21,프로그램,NNG,15.215117711665894
22,생물,NNG,14.649689407839244
23,과학,NNG,13.568312294068603
24,활용,NNG,13.433461822347553
25,세계,NNG,13.225983201277879
26,다양,NNG,13.18601832163032
27,생태,NNG,12.746328062221199
28,해양,NNG,12.0877939457134
29,관련,NNG,12.086618961693091
