,키워드,품사,textrank
0,연구,NNG,43.03488787932665
1,학생,NNG,37.85465832059328
2,에너지,NNG,37.212947400319834
3,가능,NNG,36.16681788852999
4,제공,NNG,29.361663220418237
5,지속,NNG,28.452971666260733
6,개발,NNG,28.206954587804237
7,지역,NNG,27.801391917094872
8,사회,NNG,26.284777569632354
9,대학,NNG,25.319075172851118
10,프로그램,NNG,23.032515544406763
11,기술,NNG,22.88645780152463
12,지원,NNG,22.827288990449702
13,프로젝트,NNG,21.94434354823693
14,포함,NNG,20.764414545327373
15,사용,NNG,19.811194356232825
16,도시,NNG,17.103619023744393
17,교육,NNG,17.053998097007867
18,경제,NNG,16.637112178965808
19,환경,NNG,15.949631298518222
20,혁신,NNG,15.83464845892372
21,목표,NNG,15.78530245211685
22,캠퍼스,NNG,14.841760725272904
23,센터,NNG,13.930953927909282
24,정책,NNG,13.438618998384905
25,사람,NNG,13.210646836990946
26,참여,NNG,12.726932742630893
27,영향,NNG,12.708442278172488
28,협력,NNG,11.557542522442974
29,세계,NNG,11.467812177682031
