,키워드,품사,textrank
0,대학,NNG,120.85849207348635
1,협력,NNG,87.4345238526239
2,교수,NNG,62.46723981878806
3,연구,NNG,60.84497635124757
4,국제,NNG,57.969206099191695
5,교육,NNG,57.219391057287964
6,지역,NNG,56.73249729096343
7,학생,NNG,52.860772942843695
8,사업,NNG,46.391112937300626
9,개발,NNG,42.1490457096075
10,한국,NNP,39.365495250107266
11,총장,NNG,38.441443199530184
12,진행,NNG,34.62346726337133
13,사회,NNG,34.59887434918533
14,이번,NNG,34.52441475889837
15,교류,NNG,33.759399990484845
16,세계,NNG,33.74474975270124
17,기술,NNG,31.671376145323325
18,대학교,NNG,31.140353046992946
19,기관,NNG,30.92346205810447
20,분야,NNG,30.000019273933116
21,지원,NNG,29.44900671511838
22,센터,NNG,27.755549787966494
23,공동,NNG,27.720868807657077
24,참여,NNG,26.462721492265675
25,프로그램,NNG,24.627867859014696
26,발전,NNG,24.23815828555312
27,활동,NNG,24.141223547193675
28,미래,NNG,23.542820513912275
29,과학,NNG,22.580685136408054
