,키워드,품사,textrank
0,대학,NNG,138.23496939078905
1,교수,NNG,104.3050042265562
2,학생,NNG,77.11773491639731
3,교육,NNG,70.43636005165503
4,사회,NNG,52.837942223341194
5,연구,NNG,52.42705124068579
6,총장,NNG,51.15396195702177
7,세계,NNG,47.71379064102183
8,한국,NNP,40.588834862436975
9,미래,NNG,38.569219872870754
10,평화,NNG,38.21662380924488
11,진행,NNG,37.86797794716378
12,지역,NNG,37.68590185277448
13,말,NNG,35.63825856643152
14,대학교,NNG,34.745745703038644
15,이번,NNG,34.05656962902509
16,학교,NNG,29.667325729058007
17,센터,NNG,29.04154322978427
18,회장,NNG,28.93481177969656
19,지원,NNG,28.525990319265865
20,활동,NNG,28.211539461014304
21,발전,NNG,28.055474619564617
22,문화,NNG,27.88074674227821
23,경희,NNG,27.54151378627743
24,동문,NNG,27.405538521876636
25,참여,NNG,27.340302561137467
26,문제,NNG,25.5019817510484
27,국제,NNG,25.142681554261443
28,대학원,NNG,24.872156949946753
29,시민,NNG,24.595170342371066
