,키워드,품사,textrank
0,대학,NNG,311.02482348831154
1,교수,NNG,281.18496583433426
2,학생,NNG,244.86840735155593
3,연구,NNG,225.89422411982147
4,교육,NNG,173.92385289019074
5,지원,NNG,141.649374378438
6,기술,NNG,136.35358915872166
7,사업,NNG,133.8806857504041
8,지역,NNG,121.86616913407762
9,팀,NNG,116.25487596195087
10,이번,NNG,114.03816371573346
11,진행,NNG,111.45135362465513
12,개발,NNG,97.61240719566283
13,센터,NNG,94.58816688320917
14,분야,NNG,91.39634986640922
15,한국,NNP,90.6590264200445
16,대학교,NNG,87.22880958631562
17,창업,NNG,86.41243300713997
18,참여,NNG,80.16055742319972
19,산업,NNG,80.05093545169517
20,공학,NNG,79.21042327608484
21,기업,NNG,79.0503079701055
22,사회,NNG,78.9654024419934
23,프로그램,NNG,76.39593996757208
24,협력,NNG,72.7827706784447
25,과정,NNG,71.72090692647126
26,선정,NNG,67.96664361960391
27,말,NNG,67.78351232335571
28,대표,NNG,66.62233965979607
29,학과,NNG,61.99873548457415
