,Unnamed: 0,키워드,품사,textrank
0,0,김대중,NNP,12.866188918993965
1,1,한국,NNP,9.370188645658796
2,2,어린이,NNG,8.40722808261408
3,3,방정환,NNP,6.2107232046401455
4,4,민주,NNG,5.911454300577799
6,6,공개,NNG,5.04728634474465
9,9,사진,NNG,4.200825268259989
11,11,조사,NNG,4.019573553509857
12,12,재단,NNG,4.007932235880115
13,13,정동년,NNP,3.935400774779559
14,14,의원,NNG,3.819682075281892
15,15,미국,NNP,3.790229263403037
16,16,관련,NNG,3.726068663535348
17,17,선생,NNG,3.69996182584018
20,20,운동,NNG,3.476765169399446
22,22,사료,NNG,3.3001950084619063
23,23,문제,NNG,3.2776668464992667
25,25,이후,NNG,2.860468233543999
26,26,당시,NNG,2.8594969242207884
27,27,정치,NNG,2.7844658500191035
28,28,연구소,NNG,2.73683036362384
29,29,때,NNG,2.708646071616535
